id,lng,lat,tract2,tract,Year,City,LACity,Community_Name,Detailed_Name,SPA,SD,CD,ca_ssd,ca_sad,us_cd,DemogSurvCt,YouthSurvCt,SheltHmisCt,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamEncampHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamEncampPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndEncampPeople,totYouthFamHH,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
885,-118.4128391,34.02919109,881,881,2017,Los Angeles,1,Palms,Palms NC,5,2,5,30,54,37,0,0,0,0,1,11,0,0,1,1,2,0,5,2,2,4,0,10,0,0,0,0,0,0,0,0,0,0,1,2,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28
886,-118.4010636,34.02168243,882,882,2017,Los Angeles,1,Palms,Palms NC,5,2,5,30,54,37,0,0,0,0,1,7,0,0,3,0,2,0,4,5,0,4,0,8,0,0,0,0,0,0,0,0,0,0,4,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
887,-118.4028314,34.02494412,883,883,2017,Los Angeles,1,Palms,Palms NC,5,2,5,30,54,37,0,0,0,0,1,1,0,0,1,3,1,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
888,-118.4077193,34.02896916,884,884,2017,Los Angeles,1,Palms,Palms NC,5,2,5,30,54,37,0,0,0,0,1,6,0,0,2,0,2,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
889,-118.3946927,34.02744589,885,885,2017,Los Angeles,1,Palms,Palms NC,5,2,5,30,54,37,1,0,0,0,1,3,0,0,2,2,5,3,7,3,4,10,5,13,0,0,0,0,0,0,0,1,0,0,3,3,10,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,39
890,-118.3795451,34.03371281,886,886,2017,Los Angeles,1,Palms,South Robertson NC,5,2,10,30,54,37,0,0,0,1,1,29,0,0,9,5,5,0,0,14,9,10,0,0,0,0,0,0,0,1,0,1,0,0,13,9,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,4,0,0,4,67
891,-118.3716083,34.04005822,887,887,2017,Los Angeles,1,Mid City,Mid City NC,4,2,10,30,54,37,0,0,0,0,1,3,0,0,4,2,2,13,0,6,4,4,22,0,0,0,0,0,0,1,0,0,0,0,6,3,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,39
892,-118.427205,34.03307023,888,888,2017,Los Angeles,1,Westside,Westside NC,5,2,5,30,54,37,0,0,0,0,1,0,0,0,1,2,1,12,5,2,4,2,20,10,0,0,0,0,0,0,0,0,0,0,1,3,2,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,37
893,-118.4424892,34.03103511,889,889,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,11,30,54,37,0,0,0,0,1,4,0,0,0,2,3,0,7,0,4,6,0,13,0,0,0,0,0,0,0,0,0,0,0,3,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27
894,-118.4424684,34.02535388,890,890,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,11,30,54,37,0,0,0,0,1,7,0,0,0,0,5,0,1,0,0,10,0,2,0,0,0,0,0,0,0,1,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
895,-118.447474,34.00857099,891,891,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,11,30,54,37,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
896,-118.4371088,34.01711251,892,892,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,11,30,54,37,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,5
897,-118.4304445,34.01963514,893,893,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,11,30,54,37,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
898,-118.4186164,34.02801245,894,894,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,5,30,54,37,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
899,-118.4271075,34.02662803,895,895,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,5,30,54,37,0,0,0,0,1,2,0,0,1,2,7,6,3,2,4,15,10,6,0,0,0,0,0,0,0,1,0,0,1,3,14,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38
900,-118.4180966,34.01668477,896,896,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,5,30,54,37,0,0,0,0,1,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
901,-118.4123725,34.01986294,897,897,2017,Los Angeles,1,Palms,Palms NC,5,2,5,30,54,37,0,0,0,0,1,2,0,0,1,2,1,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
902,-118.4239053,34.01400119,898,898,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,11,30,54,37,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
903,-118.4319165,34.0110067,899,899,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,11,30,54,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904,-118.4430936,34.00480606,900,900,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,11,30,54,37,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
905,-118.433538,33.99966961,901,901,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,11,30,54,37,0,0,0,1,1,8,0,0,1,10,1,0,0,2,18,2,0,0,0,0,0,0,0,0,1,0,0,0,1,17,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5,0,5,35
906,-118.4386497,33.99722487,902,902,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,11,30,54,37,0,0,0,0,1,3,0,0,2,5,0,0,3,3,9,0,0,6,0,0,0,0,0,0,0,0,0,0,3,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21
907,-118.4224132,34.00361342,903,903,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,11,30,54,37,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
908,-118.4258794,34.00175388,904,904,2017,Los Angeles,1,Mar Vista,Mar Vista NC,5,2,11,30,54,37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
909,-118.4610199,34.00451406,905,905,2017,Los Angeles,1,Venice,Venice NC,5,3,11,26,62,33,13,1,0,0,1,8,0,0,1,8,10,3,2,2,14,21,5,4,0,0,0,0,0,0,1,1,0,0,1,14,20,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,54
